"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"561","tt1758419","Mon Apr 15 08:44:09 2013","Mon Apr 15 08:44:09 2013","","Secrets of the Dead: Lost Ships of Rome","TV Episode","","6","6.2","54","1999","documentary, history, mystery, war","42","2010-11-17","http://www.imdb.com/title/tt1758419/"
"562","tt0103519","Mon Apr 15 08:50:59 2013","Mon Apr 15 08:50:59 2013","","The Real West","TV Series","","8","8.1","50","1992","documentary, western","65","1992-10-01","http://www.imdb.com/title/tt0103519/"
"563","tt0398650","Mon Apr 15 08:52:59 2013","Mon Apr 15 08:52:59 2013","","Biography: The Kellogg Brothers: Corn Flake Kings","TV Episode","Molly Thompson","5","5.6","","1987","documentary, biography","57","1995-11-27","http://www.imdb.com/title/tt0398650/"
"564","tt1590802","Mon Apr 15 08:54:51 2013","Mon Apr 15 08:54:51 2013","","Absinthe","Documentary","Chris Buddy","5","6.9","70","2010","documentary","84","2010","http://www.imdb.com/title/tt1590802/"
"565","tt0853898","Mon Apr 15 08:57:06 2013","Mon Apr 15 08:57:06 2013","","Modern Marvels: Golden Gate Bridge","TV Episode","Jeff Scheftel","7","7.3","44","1993","documentary, history","32","1995-05-21","http://www.imdb.com/title/tt0853898/"
"566","tt0496253","Mon Apr 15 09:00:17 2013","Mon Apr 15 09:00:17 2013","","Breaking the Maya Code","Documentary","David Lebrun","7","7.6","116","2008","documentary, mystery","206","2008-03-10","http://www.imdb.com/title/tt0496253/"
"567","tt1172957","Mon Apr 15 09:03:37 2013","Mon Apr 15 09:03:37 2013","","How to Live Forever","Documentary","Mark Wexler","5","6.3","92","2009","documentary","213","2009-10","http://www.imdb.com/title/tt1172957/"
"568","tt0497116","Mon Apr 15 09:04:31 2013","Mon Apr 15 09:04:31 2013","","An Inconvenient Truth","Documentary","Davis Guggenheim","5","7.5","96","2006","documentary","67003","2006-01-24","http://www.imdb.com/title/tt0497116/"
"569","tt1243971","Mon Apr 15 09:05:21 2013","Mon Apr 15 09:05:21 2013","","Dirt! The Movie","Documentary","Bill Benenson, Gene Rosow","","7.2","86","2009","documentary","392","2009","http://www.imdb.com/title/tt1243971/"
"570","tt0399877","Mon Apr 15 09:07:05 2013","Mon Apr 15 09:07:05 2013","","What the #$*! Do We (K)now!?","Documentary","William Arntz, Betsy Chasse","","5.4","109","2004","documentary, comedy, drama, fantasy, mystery, sci_fi","12010","2004-04-23","http://www.imdb.com/title/tt0399877/"
"571","tt1478841","Mon Apr 15 09:08:05 2013","Mon Apr 15 09:08:05 2013","","The Buddha","Documentary","David Grubin","8","7.6","120","2010","documentary","697","2010-04-17","http://www.imdb.com/title/tt1478841/"
