"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"117","tt1505145","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The War on Kids","Documentary","Cevin Soling","9","7.8","95","2009","documentary","188","2009-06-01","http://www.imdb.com/title/tt1505145/"
"118","tt2639782","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Inside the Saudi Kingdom","Documentary","Lionel Mill","7","6.8","59","2008","documentary","31","2008-11-08","http://www.imdb.com/title/tt2639782/"
"119","tt1780179","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Horizon: Deepwater Disaster: The Untold Story","TV Episode","Tristan Quinn","8","6.5","","1964","documentary","8","2010-11-16","http://www.imdb.com/title/tt1780179/"
"120","tt2331400","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Khéops révélée","Documentary","Florence Tran","9","7.2","52","2008","documentary","10","2008","http://www.imdb.com/title/tt2331400/"
"121","tt0302361","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Bookies","Feature Film","Mark Illsley","7","6.0","88","2003","comedy, crime, drama, thriller","1893","2003-01-20","http://www.imdb.com/title/tt0302361/"
"122","tt0098769","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Civil War","Mini-Series","","8","9.4","680","1990","documentary, history, war","5454","1990-09-23","http://www.imdb.com/title/tt0098769/"
"123","tt0906873","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Dogfights","TV Series","","8","8.5","","2005","documentary, history, war","447","2005-11-11","http://www.imdb.com/title/tt0906873/"
"124","tt0318224","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Horizon","TV Series","","9","8.8","50","1964","documentary","697","1964-05-02","http://www.imdb.com/title/tt0318224/"
"126","tt0364930","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Aileen: Life and Death of a Serial Killer","Documentary","Nick Broomfield, Joan Churchill","7","7.2","93","2003","documentary, crime","4337","2003-05-10","http://www.imdb.com/title/tt0364930/"
"127","tt0165007","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Crusade in the Pacific","TV Series","","8","7.7","30","1951","documentary, history, war","74","1951","http://www.imdb.com/title/tt0165007/"
"128","tt0421157","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Battlefield Britain","Mini-Series","Mary Cranitch","7","8.1","60","2004","documentary, history, war","118","2004-08-06","http://www.imdb.com/title/tt0421157/"
"129","tt0416043","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The World According to Bush","Documentary","William Karel","7","8.0","90","2004","documentary, war","652","2004-05-27","http://www.imdb.com/title/tt0416043/"
"130","tt0996994","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The War","Mini-Series","","9","9.1","124","2007","documentary, war","2672","2007-05-22","http://www.imdb.com/title/tt0996994/"
"131","tt0135095","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Life on Earth","Mini-Series","","7","9.2","702","1979","documentary","1922","1979-01-16","http://www.imdb.com/title/tt0135095/"
"132","tt0045888","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","House of Wax","Feature Film","Andre de Toth","7","7.1","88","1953","crime, horror","11545","1953-04-10","http://www.imdb.com/title/tt0045888/"
"133","tt0119225","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Gridlock'd","Feature Film","Vondie Curtis-Hall","7","7.0","91","1997","comedy, crime, drama","11608","1997-01-29","http://www.imdb.com/title/tt0119225/"
"134","tt0047708","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Alfred Hitchcock Presents","TV Series","","8","8.6","25","1955","crime, drama, mystery, thriller","8855","1955-10-02","http://www.imdb.com/title/tt0047708/"
"135","tt0283775","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Planets","Mini-Series","David McNab","8","8.5","390","1999","documentary","1132","1999-04-29","http://www.imdb.com/title/tt0283775/"
"136","tt0391588","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Century: America's Time","Mini-Series","","7","8.9","750","1999","documentary","49","1999-04-12","http://www.imdb.com/title/tt0391588/"
"137","tt0111931","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Crusades","TV Series","Alan Ereira, David Wallace","8","8.3","200","1995","documentary, history, war","396","1995-01-10","http://www.imdb.com/title/tt0111931/"
"138","tt0899221","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Sherman's March","Documentary","Rick King","8","7.5","","2007","documentary, history, war","124","2007-04-22","http://www.imdb.com/title/tt0899221/"
"139","tt0229120","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","D-Day: The Total Story","Documentary","Robert Lihani","8","7.9","","1994","documentary, history, war","70","1994-06-05","http://www.imdb.com/title/tt0229120/"
"140","tt0326387","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","War in the Falklands","Documentary","Mike Beckham","7","7.9","","2002","documentary, history, war","21","2002","http://www.imdb.com/title/tt0326387/"
"141","tt1854226","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Wonders of the Universe","Mini-Series","","8","8.9","59","2011","documentary","2751","2011-03-06","http://www.imdb.com/title/tt1854226/"
"142","tt0071075","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The World at War","Mini-Series","","9","9.3","52","1973","documentary, history, war","11076","1973-10-31","http://www.imdb.com/title/tt0071075/"
"143","tt0255264","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Israel: Birth of a Nation","Documentary","","7","5.7","100","1996","documentary, history, war","84","1996","http://www.imdb.com/title/tt0255264/"
"144","tt0174323","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Ten Thousand Day War","Mini-Series","","9","8.6","52","1980","documentary, history, war","174","1980-11-05","http://www.imdb.com/title/tt0174323/"
"145","tt0115635","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Battle of the Alamo","Documentary","Nina Gilden Seavey, Paul Wagner","7","7.6","47","1996","documentary, history, war","18","1996-03-09","http://www.imdb.com/title/tt0115635/"
"146","tt0217756","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Ready to Rumble","Feature Film","Brian Robbins","7","5.3","107","2000","comedy, sport","11630","2000-04-05","http://www.imdb.com/title/tt0217756/"
"147","tt0104412","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Hero","Feature Film","Stephen Frears","7","6.5","119","1992","comedy, drama, romance","17554","1992-10-02","http://www.imdb.com/title/tt0104412/"
"148","tt0080881","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Hollywood Knights","Feature Film","Floyd Mutrux","7","6.3","91","1980","comedy","3427","1980-05-18","http://www.imdb.com/title/tt0080881/"
"149","tt0081698","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Used Cars","Feature Film","Robert Zemeckis","7","6.8","113","1980","comedy","10545","1980-07-11","http://www.imdb.com/title/tt0081698/"
"150","tt0118301","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Dead Man on Campus","Feature Film","Alan Cohn","7","6.0","96","1998","comedy","11642","1998-08-01","http://www.imdb.com/title/tt0118301/"
"151","tt0167427","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Superstar","Feature Film","Bruce McCulloch","6","5.0","81","1999","comedy, romance","14907","1999-10-05","http://www.imdb.com/title/tt0167427/"
"152","tt0112819","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Dead Presidents","Feature Film","The Hughes Brothers, The Hughes Brothers","7","6.8","119","1995","action, crime, drama, thriller, war","15045","1995-09-29","http://www.imdb.com/title/tt0112819/"
"153","tt0104810","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Manufacturing Consent: Noam Chomsky and the Media","Documentary","Mark Achbar, Peter Wintonick","6","8.2","167","1992","documentary, biography, war","3552","1992-11-06","http://www.imdb.com/title/tt0104810/"
"154","tt0108410","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Twenty Bucks","Feature Film","Keva Rosenfeld","6","6.4","91","1993","comedy, drama","3108","1993-01","http://www.imdb.com/title/tt0108410/"
"155","tt0343168","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Weather Underground","Documentary","Sam Green, Bill Siegel","6","7.6","92","2002","documentary, history, war","2991","2002-11-17","http://www.imdb.com/title/tt0343168/"
"156","tt0067458","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Murphy's War","Feature Film","Peter Yates","6","6.9","107","1971","drama, war","2284","1971-01-13","http://www.imdb.com/title/tt0067458/"
"157","tt0068245","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Bad Company","Feature Film","Robert Benton","6","7.1","93","1972","drama, western","2534","1972-10-08","http://www.imdb.com/title/tt0068245/"
"158","tt1396557","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Winnebago Man","Documentary","Ben Steinbauer","6","7.2","85","2009","documentary, biography, comedy","3965","2009-03-14","http://www.imdb.com/title/tt1396557/"
"159","tt0105187","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Public Eye","Feature Film","Howard Franklin","6","6.5","99","1992","crime, drama, romance, thriller","2605","1992-09-15","http://www.imdb.com/title/tt0105187/"
"160","tt0053183","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Pork Chop Hill","Feature Film","Lewis Milestone","6","7.1","97","1959","war, drama, action","3227","1959-05-29","http://www.imdb.com/title/tt0053183/"
"161","tt0069436","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Ulzana's Raid","Feature Film","Robert Aldrich","6","7.1","103","1972","adventure, western","3613","1972-10-18","http://www.imdb.com/title/tt0069436/"
"162","tt0116320","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Fled","Feature Film","Kevin Hooks","4","5.3","98","1996","action, adventure, crime, drama, romance","7031","1996-07-19","http://www.imdb.com/title/tt0116320/"
"163","tt0401504","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Ike: Countdown to D-Day","TV Movie","Robert Harmon","6","7.2","89","2004","drama, history, war","2469","2004-05-31","http://www.imdb.com/title/tt0401504/"
"164","tt0996614","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Galápagos","Mini-Series","","6","8.2","180","2006","documentary","895","2006-09-26","http://www.imdb.com/title/tt0996614/"
"165","tt0045679","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Desert Rats","Feature Film","Robert Wise","6","6.8","88","1953","action, adventure, drama, war","3556","1953-05-06","http://www.imdb.com/title/tt0045679/"
"166","tt0065051","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Support Your Local Sheriff!","Feature Film","Burt Kennedy","6","7.5","92","1969","action, comedy, romance, western","7541","1969-03-26","http://www.imdb.com/title/tt0065051/"
"167","tt0065702","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Chariots of the Gods","Documentary","Dr. Harald Reinl","6","6.3","92","1970","documentary","997","1970-04-26","http://www.imdb.com/title/tt0065702/"
"168","tt0194218","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Panic","Feature Film","Henry Bromell","6","6.8","88","2000","comedy, crime, drama","7146","2000-01-22","http://www.imdb.com/title/tt0194218/"
"169","tt0171410","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Jack Bull","TV Movie","John Badham","6","6.9","116","1999","drama, western","3685","1999-04-17","http://www.imdb.com/title/tt0171410/"
"170","tt1489097","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","WWII in HD","Mini-Series","","6","8.7","60","2009","documentary, history, war","1369","2009-11-15","http://www.imdb.com/title/tt1489097/"
"171","tt1572769","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Countdown to Zero","Documentary","Lucy Walker","6","7.0","89","2010","documentary","1935","2010-01-25","http://www.imdb.com/title/tt1572769/"
"172","tt0109450","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Cobb","Feature Film","Ron Shelton","6","6.5","128","1994","biography, drama, sport","5902","1994-12-02","http://www.imdb.com/title/tt0109450/"
"173","tt0481390","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Kokoda","Feature Film","Alister Grierson","6","6.2","92","2006","action, drama, war","2371","2006-04-25","http://www.imdb.com/title/tt0481390/"
"174","tt0103007","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Super","Feature Film","Rod Daniel","6","5.5","84","1991","comedy","4118","1991-10-04","http://www.imdb.com/title/tt0103007/"
"175","tt0134033","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Plunkett & Macleane","Feature Film","Jake Scott","6","6.4","99","1999","action, adventure, crime, drama","8564","1999-01-22","http://www.imdb.com/title/tt0134033/"
"176","tt0131566","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Rogue Trader","Feature Film","James Dearden","6","6.3","101","1999","crime, drama, history, thriller","7771","1999-06-25","http://www.imdb.com/title/tt0131566/"
"177","tt0046889","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Dam Busters","Feature Film","Michael Anderson","6","7.4","124","1955","drama, history, war","7483","1955-05-16","http://www.imdb.com/title/tt0046889/"
"178","tt0092746","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Cherry 2000","Feature Film","Steve De Jarnatt","6","5.4","99","1987","action, adventure, comedy, sci_fi","6670","1987-11-12","http://www.imdb.com/title/tt0092746/"
"179","tt0060177","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Blue Max","Feature Film","John Guillermin","6","7.1","156","1966","action, drama, romance, war","5026","1966-06-21","http://www.imdb.com/title/tt0060177/"
"180","tt0104549","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Jennifer 8","Feature Film","Bruce Robinson","6","6.2","124","1992","crime, drama, mystery, thriller","12076","1992-11-06","http://www.imdb.com/title/tt0104549/"
"181","tt0290210","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Max","Feature Film","Menno Meyjes","6","6.6","106","2002","drama, war","6266","2002-09-10","http://www.imdb.com/title/tt0290210/"
"182","tt0119214","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Gone Fishin'","Feature Film","Christopher Cain","6","4.7","94","1997","comedy, crime","7986","1997-05-30","http://www.imdb.com/title/tt0119214/"
"183","tt1394268","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Loose Change 9/11: An American Coup","Documentary","Dylan Avery","6","7.2","99","2009","documentary, history, war","2902","2009-09-09","http://www.imdb.com/title/tt1394268/"
"184","tt0108473","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Vanishing","Feature Film","George Sluizer","6","6.3","109","1993","drama, horror, mystery, thriller","18265","1993-02-05","http://www.imdb.com/title/tt0108473/"
"185","tt0402850","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Big White","Feature Film","Mark Mylod","6","6.5","100","2005","comedy, crime, drama","12294","2005-07-28","http://www.imdb.com/title/tt0402850/"
"186","tt0067065","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Escape from the Planet of the Apes","Feature Film","Don Taylor","6","6.3","98","1971","action, sci_fi","23230","1971-05-21","http://www.imdb.com/title/tt0067065/"
"187","tt0077572","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Force 10 from Navarone","Feature Film","Guy Hamilton","6","6.3","118","1978","action, drama, war","13474","1978-08-16","http://www.imdb.com/title/tt0077572/"
"188","tt0098577","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Vampire's Kiss","Feature Film","Robert Bierman","6","5.9","103","1988","comedy, horror","9246","1988-05","http://www.imdb.com/title/tt0098577/"
"189","tt0762111","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Jonestown: The Life and Death of Peoples Temple","Documentary","Stanley Nelson","6","7.9","86","2006","documentary, history","3746","2006-04-26","http://www.imdb.com/title/tt0762111/"
"190","tt0104438","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Honeymoon in Vegas","Feature Film","Andrew Bergman","6","5.8","96","1992","comedy, romance, thriller","14356","1992-08-28","http://www.imdb.com/title/tt0104438/"
"191","tt0062824","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Coogan's Bluff","Feature Film","Donald Siegel","6","6.5","93","1968","action, comedy, crime, thriller","11579","1968-10-02","http://www.imdb.com/title/tt0062824/"
"192","tt0074899","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Midway","Feature Film","Jack Smight","6","6.8","132","1976","action, drama, history, war","13452","1976-06-18","http://www.imdb.com/title/tt0074899/"
"193","tt0056264","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Mutiny on the Bounty","Feature Film","Lewis Milestone","6","7.2","178","1962","adventure, drama, history, romance","11447","1962-11-08","http://www.imdb.com/title/tt0056264/"
"194","tt0076070","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","The Gauntlet","Feature Film","Clint Eastwood","6","6.4","109","1977","action, thriller","15590","1977-12-17","http://www.imdb.com/title/tt0076070/"
"195","tt0098253","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Santa Sangre","Feature Film","Alejandro Jodorowsky","6","7.7","123","1989","drama, fantasy, horror, thriller","13637","1989-05","http://www.imdb.com/title/tt0098253/"
"196","tt0085470","Tue Mar 12 08:25:43 2013","Tue Mar 12 08:25:43 2013","","Easy Money","Feature Film","James Signorelli","6","6.3","95","1983","comedy","5718","1983-08-19","http://www.imdb.com/title/tt0085470/"
"197","tt0243609","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","To End All Wars","Feature Film","David L. Cunningham","6","7.1","125","2001","action, drama, war","8778","2001-09-02","http://www.imdb.com/title/tt0243609/"
"198","tt0094716","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Beast of War","Feature Film","Kevin Reynolds","6","7.4","111","1988","war","7178","1988-09-07","http://www.imdb.com/title/tt0094716/"
"199","tt0101453","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Billy Bathgate","Feature Film","Robert Benton","6","5.9","106","1991","action, crime, drama","9568","1991-11-01","http://www.imdb.com/title/tt0101453/"
"200","tt0051622","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Fly","Feature Film","Kurt Neumann","6","7.1","94","1958","drama, horror, sci_fi","15272","1958-07-16","http://www.imdb.com/title/tt0051622/"
"201","tt0059885","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Von Ryan's Express","Feature Film","Mark Robson","6","7.2","117","1965","action, adventure, war","10108","1965-06-23","http://www.imdb.com/title/tt0059885/"
"202","tt0076342","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","MacArthur","Feature Film","Joseph Sargent","6","6.6","130","1977","biography, drama, history, war","3214","1977-06-30","http://www.imdb.com/title/tt0076342/"
"203","tt0106664","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Dark Half","Feature Film","George A. Romero","6","5.9","122","1993","horror, mystery","11723","1993-04-23","http://www.imdb.com/title/tt0106664/"
"204","tt0107004","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Geronimo: An American Legend","Feature Film","Walter Hill","6","6.5","115","1993","drama, history, western","6602","1993-12-02","http://www.imdb.com/title/tt0107004/"
"205","tt0118863","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Clay Pigeons","Feature Film","David Dobkin","6","6.6","104","1998","comedy, crime","9454","1998-09-15","http://www.imdb.com/title/tt0118863/"
"206","tt0218378","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Claim","Feature Film","Michael Winterbottom","6","6.5","120","2000","drama, romance, western","5233","2000-12-29","http://www.imdb.com/title/tt0218378/"
"207","tt0118632","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Apostle","Feature Film","Robert Duvall","6","7.2","134","1997","drama","11569","1997-09-06","http://www.imdb.com/title/tt0118632/"
"208","tt0080274","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Shogun","Mini-Series","Jerry London","6","8.2","60","1980","adventure, drama, history, war","8987","1980-09-15","http://www.imdb.com/title/tt0080274/"
"209","tt1742683","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Too Big to Fail","TV Movie","Curtis Hanson","6","7.4","99","2011","drama, history, news","11088","2011-05-23","http://www.imdb.com/title/tt1742683/"
"210","tt0840322","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Forever Strong","Feature Film","Ryan Little","6","7.3","112","2008","drama, sport","8853","2008-09-26","http://www.imdb.com/title/tt0840322/"
"211","tt0104839","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Medicine Man","Feature Film","John McTiernan","6","6.0","106","1992","adventure, drama, romance","17335","1992-02-07","http://www.imdb.com/title/tt0104839/"
"212","tt0097722","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Lean on Me","Feature Film","John G. Avildsen","6","7.4","108","1989","drama","14441","1989-03-03","http://www.imdb.com/title/tt0097722/"
"213","tt0061619","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","El Dorado","Feature Film","Howard Hawks","6","7.7","126","1966","drama, romance, western","17370","1966-12-17","http://www.imdb.com/title/tt0061619/"
"214","tt0082288","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Dragonslayer","Feature Film","Matthew Robbins","6","6.7","108","1981","action, adventure, fantasy","10697","1981-06-26","http://www.imdb.com/title/tt0082288/"
"215","tt1699147","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Seven Days in Utopia","Feature Film","Matthew Dean Russell","6","6.1","100","2011","drama, sport","2437","2011-09-02","http://www.imdb.com/title/tt1699147/"
"216","tt0092948","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Eddie Murphy: Raw","Documentary","Robert Townsend","6","7.6","93","1987","documentary, comedy","14920","1987-11-25","http://www.imdb.com/title/tt0092948/"
"217","tt1781069","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Zeitgeist: Moving Forward","Documentary","Peter Joseph","6","8.3","161","2011","documentary","15252","2011-01-15","http://www.imdb.com/title/tt1781069/"
"218","tt0054847","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","El Cid","Feature Film","Anthony Mann","6","7.3","182","1961","adventure, biography, drama, history, romance, war","9625","1961-10-24","http://www.imdb.com/title/tt0054847/"
"219","tt0057197","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Jason and the Argonauts","Feature Film","Don Chaffey","6","7.4","104","1963","adventure, family, fantasy","17043","1963-06-19","http://www.imdb.com/title/tt0057197/"
"220","tt0065547","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Chisum","Feature Film","Andrew V. McLaglen","6","6.9","111","1970","biography, western","6514","1970-06-24","http://www.imdb.com/title/tt0065547/"
"221","tt1558250","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","GasLand","Documentary","Josh Fox","6","7.7","107","2010","documentary","9296","2010-01-24","http://www.imdb.com/title/tt1558250/"
"222","tt0109305","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Blue Chips","Feature Film","William Friedkin","6","6.1","108","1994","drama, sport","9466","1994-02-18","http://www.imdb.com/title/tt0109305/"
"223","tt0118768","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Brave","Feature Film","Johnny Depp","6","6.4","123","1997","drama","7703","1997-05-10","http://www.imdb.com/title/tt0118768/"
"224","tt0104504","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Incident at Oglala","Documentary","Michael Apted","6","7.6","89","1992","documentary, history","889","1992-05-08","http://www.imdb.com/title/tt0104504/"
"225","tt1034360","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Ancient Discoveries","TV Series","","6","7.7","60","2003","documentary, history","194","2003-12-21","http://www.imdb.com/title/tt1034360/"
"226","tt0848954","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Engineering an Empire","TV Series","","6","8.3","","2005","documentary, history","408","2005","http://www.imdb.com/title/tt0848954/"
"227","tt1311717","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Superpower","Documentary","Barbara-Anne Steegmuller","6","7.2","119","2008","documentary, history, war","302","2008-08-28","http://www.imdb.com/title/tt1311717/"
"228","tt1999995","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Would You Rather","Feature Film","David Guy Levy","6","5.8","93","2012","horror","22299","2012-10-14","http://www.imdb.com/title/tt1999995/"
"229","tt1498094","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Nostradamus Effect","TV Series","","6","5.4","60","2009","documentary, history","133","2009-09-09","http://www.imdb.com/title/tt1498094/"
"230","tt0368083","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Noam Chomsky: Rebel Without a Pause","Documentary","Will Pascoe","6","7.3","74","2003","documentary, war","499","2003-11-26","http://www.imdb.com/title/tt0368083/"
"231","tt1410718","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Lock 'N Load with R. Lee Ermey","TV Series","","6","8.6","60","2009","documentary, history, war","390","2009-06-25","http://www.imdb.com/title/tt1410718/"
"232","tt2330649","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Wikileaks: The Secret Life of a Superpower","TV Series","","6","7.0","","2012","documentary","40","2012-03-21","http://www.imdb.com/title/tt2330649/"
"233","tt1973370","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Greatest Tank Battles","Mini-Series","","6","7.5","","2010","documentary, history, war","110","2010-01-04","http://www.imdb.com/title/tt1973370/"
"234","tt0979872","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Decoding the Past: Doomsday 2012 - The End of Days","Documentary","","6","6.3","","2007","documentary, history, sci_fi","154","2007","http://www.imdb.com/title/tt0979872/"
"235","tt1867093","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","The Samaritan","Feature Film","David Weaver","6","5.6","90","2012","crime, drama, thriller","7564","2012-03-03","http://www.imdb.com/title/tt1867093/"
"236","tt0321021","Tue Mar 12 08:25:44 2013","Tue Mar 12 08:25:44 2013","","Without a Trace","TV Series","","6","6.9","60","2002","crime, drama, mystery, thriller","14583","2002-09-26","http://www.imdb.com/title/tt0321021/"
